year,shared_spending,dividend1,new_debt1,repay1,debt1_before_interest
1,102.0,94.05000000000001,7.949999999999989,0.0,7.949999999999989
2,97.38357944157076,94.05000000000001,3.3335794415707483,0.0,11.522079441570746
3,90.22814275348469,94.05000000000001,0.0,3.8218572465153215,8.04588457830256
4,84.25591691339834,94.05000000000001,0.0,8.287261115651644,0.0
5,77.68624701378832,94.05000000000001,0.0,0.0,0.0
6,73.89673876934019,94.05000000000001,0.0,0.0,0.0
7,74.488892406794,94.05000000000001,0.0,0.0,0.0
8,79.69045777452482,94.05000000000001,0.0,0.0,0.0
9,89.27819519597834,94.05000000000001,0.0,0.0,0.0
10,85.97941857485735,94.05000000000001,0.0,0.0,0.0
11,87.89747866388123,94.05000000000001,0.0,0.0,0.0
12,93.83073308178527,94.05000000000001,0.0,0.0,0.0
13,99.4327772402429,94.05000000000001,5.382777240242888,0.0,5.382777240242888
14,95.85161705350066,94.05000000000001,1.8016170535006495,0.0,7.345877610950831
15,99.90873039191648,94.05000000000001,5.858730391916467,0.0,13.424984331195832
16,112.24596085720665,94.05000000000001,18.195960857206643,0.0,32.02369471833836
17,120.32650777051288,94.05000000000001,26.276507770512865,0.0,59.26091333040141
18,132.33183600154726,94.05000000000001,38.28183600154725,0.0,99.32057673186077
19,141.940829390492,94.05000000000001,47.890829390492,0.0,150.1910234243087
