scenario,strategy,cross50_pct,cross60_pct,cross70_pct,net_nonpositive_pct,median_peak_ltv_pct,p95_peak_ltv_pct,median_final_net_unconstrained,p05_final_net_unconstrained,median_final_net_never_cross50,median_peak_debt,median_first_cross_year_if_cross
history_2006-06-30,1,0.0,0.0,0.0,0.0,15.689419369485627,15.689419369485627,38959.43529232131,38959.43529232131,38959.43529232131,1616.3496924255264,
history_2006-06-30,5,0.0,0.0,0.0,0.0,26.55553960680821,26.55553960680821,5580.859703810397,5580.859703810397,5580.859703810397,1012.041233559801,
history_2007-10-31,1,0.0,0.0,0.0,0.0,19.175048984204253,19.175048984204253,24061.68822251198,24061.68822251198,24061.68822251198,1443.8864391788863,
history_2007-10-31,5,0.0,0.0,0.0,0.0,42.04148189392368,42.04148189392368,3985.1027230291566,3985.1027230291566,3985.1027230291566,1422.5943195654456,
base,1,4.925,3.5249999999999995,2.225,0.8250000000000001,14.063195369469133,49.65323322417826,768782.2882558738,49483.67846092376,872613.1999345962,6316.449086163293,17.0
base,5,21.349999999999998,18.25,16.25,11.875,11.470117836903501,213.60117667253343,15834.035479511129,-1405.020312769016,21238.991935520695,444.57233560935083,16.958333333333336
interest5,1,7.85,5.25,3.85,1.625,16.013225887630085,61.85502351791937,765858.3682194331,46183.77540973073,927947.9175800479,9458.658871928144,17.083333333333332
interest5,5,25.900000000000002,23.825,21.725,16.650000000000002,13.267169546262908,312.016920599341,15381.257902842586,-4054.3073044465605,22238.673319399484,550.690158027083,16.125
inflation2,1,11.125,7.925,5.625,2.65,18.45083377148509,73.7323693192128,764147.5118011328,44848.90200618268,990103.034422658,10951.225540904368,16.166666666666668
inflation2,5,38.775,35.575,32.65,26.1,27.62052711596205,442.37115277658665,11762.131020284138,-6039.796767510095,22846.891663483235,1580.0751904190608,16.5
dividend4.5,1,7.324999999999999,4.575,2.9000000000000004,0.975,19.21771455798218,57.933291977614054,769092.002103221,49566.52646324259,922174.1321123566,6407.22204583754,14.5
dividend4.5,5,21.349999999999998,18.25,16.25,11.875,11.470117836903501,213.60117667253343,15834.035479511129,-1405.020312769016,21238.991935520695,444.57233560935083,16.958333333333336
variable_dividend6.27,1,6.45,4.324999999999999,2.775,0.8999999999999999,15.8352702865314,56.41501192894327,768949.6814802557,49518.675443975524,897254.7816936544,6535.591044796918,15.083333333333334
variable_dividend6.27,5,21.349999999999998,18.25,16.25,11.875,11.470117836903501,213.60117667253343,15834.035479511129,-1405.020312769016,21238.991935520695,444.57233560935083,16.958333333333336
exclude_leveraged_collateral,1,5.5,3.95,2.55,0.8250000000000001,16.66596139099915,52.682387790275286,768782.2882558738,49483.67846092376,881185.1568525552,6316.449086163293,17.041666666666664
exclude_leveraged_collateral,5,21.349999999999998,18.25,16.25,11.875,11.470117836903501,213.60117667253343,15834.035479511129,-1405.020312769016,21238.991935520695,444.57233560935083,16.958333333333336
long_bond_proxy,1,4.8,3.4250000000000003,2.35,0.8750000000000001,13.776460557209925,48.31131004687789,769465.8205663643,50071.42132731401,867295.8300159527,5967.484815870979,15.958333333333332
long_bond_proxy,5,21.349999999999998,18.25,16.25,11.875,11.470117836903501,213.60117667253343,15834.035479511129,-1405.020312769016,21238.991935520695,444.57233560935083,16.958333333333336
equities_minus3pp,1,17.125,12.6,9.625,5.050000000000001,22.1281327352873,100.82516919265252,134149.41747657047,9060.885727011651,193335.33087422836,6316.449086163293,18.666666666666668
equities_minus3pp,5,54.325,51.4,49.075,42.425000000000004,65.96927691058863,954.5196775201968,2089.703680504092,-5438.061160523331,8602.41641737318,1961.9847207415642,16.333333333333332
block24,1,4.425,2.4,1.7500000000000002,0.575,15.816922192744503,47.73244512270548,433733.8943067528,45540.392595294725,471334.86500370025,6267.387383059891,19.083333333333332
block24,5,22.675,20.45,18.475,13.850000000000001,12.928369727862776,261.88909710238437,13037.490756497078,-2150.5583254375615,17688.28265793474,493.24722812544036,15.666666666666666
since2010_long_bonds,1,0.22499999999999998,0.075,0.05,0.0,10.362104532427471,21.498813932547712,2496348.1143590035,276738.72269299405,2503615.6395288412,6139.459484688365,14.166666666666666
since2010_long_bonds,5,0.575,0.2,0.1,0.025,7.088543130992418,21.513789723814845,44477.124533341106,13658.65215637643,44584.1714893429,290.93643949346966,19.083333333333332
equities_equal8,1,49.525000000000006,42.625,36.95,25.85,49.44418867119097,315.2648715672108,23224.34281330402,-3264.3039410850797,78696.5462179868,6316.449086163293,19.083333333333332
equities_equal8,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
equities_equal8_inflation2,1,66.35,59.975,55.35,41.675000000000004,80.38771122294217,515.7602635000478,18589.566358562945,-7899.080395826159,135232.40345377044,10951.225540904368,16.5
equities_equal8_inflation2,5,44.2,41.25,38.175,31.324999999999996,36.5919506618418,549.6869751604215,8723.412288520834,-6882.022248355163,20337.55600366569,2176.398888452518,16.583333333333332
equities_equal8_interest5,1,59.775,53.725,48.199999999999996,35.25,66.67947046173705,435.7714975360302,20079.825956531087,-6498.67810136761,107002.86494344288,9458.658871928144,17.916666666666668
equities_equal8_interest5,5,29.849999999999998,27.500000000000004,25.624999999999996,20.8,15.800688098491117,400.18160573115506,12355.491401719464,-5091.861779031615,19282.049441133753,655.5092877734279,16.0
equities_equal8_long_bond,1,46.650000000000006,39.550000000000004,34.300000000000004,23.400000000000002,45.71185506272466,295.40134341513,23891.92086467788,-3007.249909280129,70980.99102269829,5967.484815870979,19.166666666666668
equities_equal8_long_bond,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
equities_equal8_variable_dividend,1,52.47500000000001,44.324999999999996,38.425,25.124999999999996,52.71281441256897,257.85950718663804,23488.604676349867,-3105.1712394632864,82426.94726615612,6535.591044796918,17.416666666666668
equities_equal8_variable_dividend,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
equities_equal8_dividend4.5,1,54.675,45.025,38.7,24.625,54.48213371870734,270.38146244379146,23734.30943864488,-3139.991581769213,88111.53115329324,6407.22204583754,16.333333333333332
equities_equal8_dividend4.5,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
horizon30,1,4.6,3.075,2.375,0.8999999999999999,14.073912734194982,48.247739507795664,150866.62606656767,12952.569812150277,167687.36502297773,3369.6459417697224,16.25
horizon30,5,18.575,16.1,13.975000000000001,9.275,11.163654907522563,151.20515080345268,9907.31165661398,-469.0108541439907,12296.74430078861,430.80646305090164,16.083333333333332
tw_qqq_target_0.09,1,39.275,33.125,27.675,17.299999999999997,38.193744458516555,229.58811745395641,41337.02383731314,-1758.6091130092868,103724.79521700699,6316.449086163293,19.083333333333332
tw_qqq_target_0.09,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
tw_qqq_target_0.1,1,30.5,24.075,19.475,12.174999999999999,30.34890940960272,174.48736222141176,72270.51104460897,457.7588694169931,150390.1990055298,6316.449086163293,19.25
tw_qqq_target_0.1,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
tw_qqq_target_0.11,1,21.725,17.325,14.149999999999999,7.8,24.58543373780713,131.62539707733032,124824.54639513273,3734.1306962878457,213104.24082037745,6316.449086163293,19.0
tw_qqq_target_0.11,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
tw_qqq_target_0.12,1,16.35,12.0,9.3,5.1499999999999995,20.482599596996497,101.9880712892243,221175.23401378473,8759.583124138602,338149.9855472239,6316.449086163293,18.708333333333336
tw_qqq_target_0.12,5,25.1,22.45,20.424999999999997,15.15,13.269003607283514,268.6662274175704,12874.669521647971,-2247.2457936140772,18444.33521441016,504.5289396698246,16.666666666666668
